GEOID,NAME,state,county,tract,pct_age65p,pct_alone65p,poverty_rate,pop_total
36047029900,"Census Tract 299, Kings County, New York",36,047,029900,16.67,81.86,28.36,2297
36047030000,"Census Tract 300, Kings County, New York",36,047,030000,10.98,75.86,15.14,3997
36047030100,"Census Tract 301, Kings County, New York",36,047,030100,11.25,75.64,24.91,3021
36047030200,"Census Tract 302, Kings County, New York",36,047,030200,19.48,58.15,14.46,4419
36047030300,"Census Tract 303, Kings County, New York",36,047,030300,14.8,70.27,24.36,4864
36047030400,"Census Tract 304, Kings County, New York",36,047,030400,24.0,57.09,18.76,4358
36047030500,"Census Tract 305, Kings County, New York",36,047,030500,10.64,86.17,10.54,6806
36047030600,"Census Tract 306, Kings County, New York",36,047,030600,18.79,61.07,20.52,1852
36047030700,"Census Tract 307, Kings County, New York",36,047,030700,6.66,85.4,43.33,7084
36047030800,"Census Tract 308, Kings County, New York",36,047,030800,24.52,58.78,6.79,2035
36047030900,"Census Tract 309, Kings County, New York",36,047,030900,6.65,83.13,17.83,2302
36047031100,"Census Tract 311, Kings County, New York",36,047,031100,6.75,83.98,20.43,2991
36047031300,"Census Tract 313, Kings County, New York",36,047,031300,15.07,78.97,16.25,4943
36047031401,"Census Tract 314.01, Kings County, New York",36,047,031401,20.31,56.0,5.92,4972
36047031402,"Census Tract 314.02, Kings County, New York",36,047,031402,,,,0
36047031500,"Census Tract 315, Kings County, New York",36,047,031500,10.93,81.86,14.89,5140
36047031701,"Census Tract 317.01, Kings County, New York",36,047,031701,8.66,80.91,7.88,3671
36047031702,"Census Tract 317.02, Kings County, New York",36,047,031702,7.85,85.74,8.58,3744
36047031900,"Census Tract 319, Kings County, New York",36,047,031900,12.96,73.73,7.83,2847
36047032100,"Census Tract 321, Kings County, New York",36,047,032100,16.42,65.27,12.6,5396
36047032300,"Census Tract 323, Kings County, New York",36,047,032300,16.46,65.05,20.04,3542
36047032500,"Census Tract 325, Kings County, New York",36,047,032500,16.66,68.48,19.34,5888
36047032600,"Census Tract 326, Kings County, New York",36,047,032600,11.45,74.22,42.54,6794
36047032700,"Census Tract 327, Kings County, New York",36,047,032700,15.73,70.67,13.65,2696
36047032800,"Census Tract 328, Kings County, New York",36,047,032800,27.3,56.9,19.26,2586
36047032900,"Census Tract 329, Kings County, New York",36,047,032900,12.61,69.24,28.74,6083
36047033000,"Census Tract 330, Kings County, New York",36,047,033000,20.74,57.62,38.88,4821
36047033100,"Census Tract 331, Kings County, New York",36,047,033100,15.07,73.44,20.58,4168
36047033300,"Census Tract 333, Kings County, New York",36,047,033300,13.87,65.15,23.52,4579
36047033500,"Census Tract 335, Kings County, New York",36,047,033500,15.48,64.75,15.4,3094
